1	48.41077355118744	68.43713846632004	56.55555555555556
9	57.07492979320885	53.68397423721781	42.666666666666664
10	36.85218279295378	82.57731424723299	96.75
11	40.41039060505518	99.99999999999999	148.0
12	29.876180750574118	90.5927857303196	127.71428571428571
14	23.966045442940988	88.0855766408233	116.5
15	51.522210875670076	50.97646469704563	40.22222222222222
19	40.863543528210464	76.24885604268464	83.0
23	32.85996936430994	93.75097128451297	135.66666666666666
2	15.93694153689029	61.0950909122302	111.0
3	28.717768700535736	89.44796505102498	122.5
25	33.92902731682474	72.75395852399288	72.42857142857143
4	42.73678835843755	98.73085490304427	148.0
26	38.517998468215254	85.76658090584154	96.75
5	47.597013020168724	69.50770984062292	57.625
6	39.37962726576443	79.76102084160716	95.16666666666667
28	42.64743426091396	71.3311346329839	67.88888888888889
7	50.10211896859827	64.11859168062435	49.5
0	39.117947408731006	74.10771329407908	75.5
29	38.259509828950904	68.20057672715959	66.125
8	35.40336992596435	80.02175677309054	97.6
