2	41.05198333333333	27.305074166666667	111.0
6	41.11291444444444	27.4981175	118.0
13	41.260889999999996	27.06377	72.0
1	41.043278888888885	26.355944444444447	12.0
25	41.35663888888889	27.305074166666667	44.8
9	41.191254444444446	27.4981175	73.6
31	41.69611222222222	27.24072638888889	166.0
9	41.191254444444446	27.4981175	73.6
8	41.156436666666664	27.7876825	116.5
14	41.260889999999996	27.4981175	69.5
8	41.156436666666664	27.7876825	116.5
19	41.30441222222222	27.4981175	61.25
10	41.217367777777774	27.835943333333333	139.5
24	41.34793444444444	27.433769722222223	54.0
16	41.27829888888889	27.916378055555555	148.0
24	41.34793444444444	27.433769722222223	54.0
10	41.217367777777774	27.835943333333333	139.5
25	41.35663888888889	27.305074166666667	44.8
10	41.217367777777774	27.835943333333333	139.5
25	41.35663888888889	27.305074166666667	44.8
12	41.24348111111111	27.691160833333335	93.33333333333333
26	41.365343333333335	27.192465555555557	34.75
15	41.269594444444444	27.610726111111113	104.0
26	41.365343333333335	27.192465555555557	34.75
9	41.191254444444446	27.4981175	73.6
26	41.365343333333335	27.192465555555557	34.75
15	41.269594444444444	27.610726111111113	104.0
23	41.34793444444444	27.06377	39.2
19	41.30441222222222	27.4981175	61.25
23	41.34793444444444	27.06377	39.2
29	41.45238777777778	27.38550888888889	62.0
4	41.10421	27.06377	50.0
13	41.260889999999996	27.06377	72.0
23	41.34793444444444	27.06377	39.2
0	40.921416666666666	26.9189875	115.5
27	41.40016111111111	26.902900555555558	35.5
8	41.156436666666664	27.7876825	116.5
27	41.40016111111111	26.902900555555558	35.5
12	41.24348111111111	27.691160833333335	93.33333333333333
20	41.33052555555555	26.87072666666667	22.666666666666668
16	41.27829888888889	27.916378055555555	148.0
18	41.29570777777778	26.742031111111114	21.0
22	41.33923	27.723334722222223	85.0
17	41.29570777777778	26.645509444444446	12.0
24	41.34793444444444	27.433769722222223	54.0
11	41.22607222222222	26.6294225	13.666666666666666
30	41.46979666666667	27.031596111111114	63.0
11	41.22607222222222	26.6294225	13.666666666666666
28	41.426274444444445	27.2085525	53.0
3	41.095505555555555	26.597248611111112	21.0
19	41.30441222222222	27.4981175	61.25
9	41.191254444444446	27.4981175	73.6
10	41.217367777777774	27.835943333333333	139.5
9	41.191254444444446	27.4981175	73.6
12	41.24348111111111	27.691160833333335	93.33333333333333
14	41.260889999999996	27.4981175	69.5
5	41.11291444444444	26.452466111111114	19.0
19	41.30441222222222	27.4981175	61.25
4	41.10421	27.06377	50.0
24	41.34793444444444	27.433769722222223	54.0
0	40.921416666666666	26.9189875	115.5
25	41.35663888888889	27.305074166666667	44.8
8	41.156436666666664	27.7876825	116.5
25	41.35663888888889	27.305074166666667	44.8
26	41.365343333333335	27.192465555555557	34.75
23	41.34793444444444	27.06377	39.2
23	41.34793444444444	27.06377	39.2
20	41.33052555555555	26.87072666666667	22.666666666666668
20	41.33052555555555	26.87072666666667	22.666666666666668
18	41.29570777777778	26.742031111111114	21.0
11	41.22607222222222	26.6294225	13.666666666666666
33	41.765747777777776	27.28898722222222	233.0
32	41.757043333333336	27.128117777777778	244.0
7	41.156436666666664	27.56246527777778	89.0
21	41.33052555555555	27.803769444444445	111.0
