3	41.08680111111111	27.369421944444444	114.5
3	41.08680111111111	27.369421944444444	114.5
7	41.27829888888889	27.031596111111114	58.666666666666664
2	41.07809666666667	26.43637916666667	17.333333333333332
12	41.365343333333335	27.337248055555555	45.44444444444444
5	41.18255	27.57855222222222	77.14285714285714
14	41.73963444444444	27.2085525	214.33333333333334
5	41.18255	27.57855222222222	77.14285714285714
4	41.16514111111111	27.803769444444445	127.71428571428571
9	41.29570777777778	27.53029138888889	71.8
4	41.16514111111111	27.803769444444445	127.71428571428571
9	41.29570777777778	27.53029138888889	71.8
4	41.16514111111111	27.803769444444445	127.71428571428571
9	41.29570777777778	27.53029138888889	71.8
8	41.28700333333333	27.900291111111112	142.0
12	41.365343333333335	27.337248055555555	45.44444444444444
8	41.28700333333333	27.900291111111112	142.0
12	41.365343333333335	27.337248055555555	45.44444444444444
4	41.16514111111111	27.803769444444445	127.71428571428571
12	41.365343333333335	27.337248055555555	45.44444444444444
5	41.18255	27.57855222222222	77.14285714285714
13	41.40016111111111	27.112030833333336	42.888888888888886
9	41.29570777777778	27.53029138888889	71.8
13	41.40016111111111	27.112030833333336	42.888888888888886
5	41.18255	27.57855222222222	77.14285714285714
13	41.40016111111111	27.112030833333336	42.888888888888886
9	41.29570777777778	27.53029138888889	71.8
13	41.40016111111111	27.112030833333336	42.888888888888886
9	41.29570777777778	27.53029138888889	71.8
13	41.40016111111111	27.112030833333336	42.888888888888886
12	41.365343333333335	27.337248055555555	45.44444444444444
1	41.043278888888885	27.160291666666666	50.0
7	41.27829888888889	27.031596111111114	58.666666666666664
13	41.40016111111111	27.112030833333336	42.888888888888886
0	40.921416666666666	26.999422222222222	115.5
11	41.35663888888889	26.87072666666667	26.166666666666668
4	41.16514111111111	27.803769444444445	127.71428571428571
11	41.35663888888889	26.87072666666667	26.166666666666668
10	41.29570777777778	27.75550861111111	98.25
11	41.35663888888889	26.87072666666667	26.166666666666668
8	41.28700333333333	27.900291111111112	142.0
11	41.35663888888889	26.87072666666667	26.166666666666668
10	41.29570777777778	27.75550861111111	98.25
6	41.269594444444444	26.613335555555558	15.4
9	41.29570777777778	27.53029138888889	71.8
6	41.269594444444444	26.613335555555558	15.4
13	41.40016111111111	27.112030833333336	42.888888888888886
6	41.269594444444444	26.613335555555558	15.4
13	41.40016111111111	27.112030833333336	42.888888888888886
2	41.07809666666667	26.43637916666667	17.333333333333332
9	41.29570777777778	27.53029138888889	71.8
5	41.18255	27.57855222222222	77.14285714285714
4	41.16514111111111	27.803769444444445	127.71428571428571
5	41.18255	27.57855222222222	77.14285714285714
10	41.29570777777778	27.75550861111111	98.25
9	41.29570777777778	27.53029138888889	71.8
2	41.07809666666667	26.43637916666667	17.333333333333332
9	41.29570777777778	27.53029138888889	71.8
1	41.043278888888885	27.160291666666666	50.0
12	41.365343333333335	27.337248055555555	45.44444444444444
0	40.921416666666666	26.999422222222222	115.5
12	41.365343333333335	27.337248055555555	45.44444444444444
4	41.16514111111111	27.803769444444445	127.71428571428571
12	41.365343333333335	27.337248055555555	45.44444444444444
12	41.365343333333335	27.337248055555555	45.44444444444444
13	41.40016111111111	27.112030833333336	42.888888888888886
7	41.27829888888889	27.031596111111114	58.666666666666664
11	41.35663888888889	26.87072666666667	26.166666666666668
11	41.35663888888889	26.87072666666667	26.166666666666668
6	41.269594444444444	26.613335555555558	15.4
6	41.269594444444444	26.613335555555558	15.4
14	41.73963444444444	27.2085525	214.33333333333334
14	41.73963444444444	27.2085525	214.33333333333334
5	41.18255	27.57855222222222	77.14285714285714
10	41.29570777777778	27.75550861111111	98.25
